Name chr start end width strand leno
12811 ENSG00000170482.16 chr5 139367196 139384553 17358 - 17358
12809 ENSG00000170476.15 chr5 139387480 139390081 2602 - 2602
28106 ENSG00000228672.3 chr5 139390592 139395713 5122 - 5122
12806 ENSG00000170469.10 chr5 139396563 139404088 7526 - 7526
12803 ENSG00000170464.9 chr5 139408588 139444491 35904 - 35904
38404 ENSG00000249751.3 chr5 139448556 139462743 14188 - 14188
15741 ENSG00000184584.12 chr5 139475964 139482790 6827 - 6827
6453 ENSG00000131508.15 chr5 139526431 139628433 102003 + 102003
13077 ENSG00000171604.11 chr5 139647299 139683882 36584 + 36584
37173 ENSG00000245146.6 chr5 140072857 140108630 35774 - 35774
15876 ENSG00000185129.5 chr5 140107777 140125619 17843 + 17843
15281 ENSG00000182700.4 chr5 140125935 140129392 3458 + 3458
5025 ENSG00000120306.9 chr5 140174642 140282052 107411 + 107411
38610 ENSG00000250069.1 chr5 140200163 140203187 3025 + 3025
4125 ENSG00000113068.9 chr5 140245039 140303121 58083 - 58083
4126 ENSG00000113070.7 chr5 140332843 140346631 13789 - 13789
4127 ENSG00000113073.14 chr5 140360202 140375143 14942 + 14942
38336 ENSG00000249637.1 chr5 140370891 140401367 30477 - 30477
6450 ENSG00000131503.20 chr5 140401814 140539856 138043 + 138043
22277 ENSG00000213523.10 chr5 140537590 140558252 20663 - 20663
36456 ENSG00000243056.1 chr5 140547666 140549578 1913 + 1913
4131 ENSG00000113108.19 chr5 140558269 140564455 6187 - 6187
13976 ENSG00000176087.14 chr5 140564690 140569103 4414 + 4414
55914 ENSG00000283602.1 chr5 140569962 140594570 24609 - 24609
39526 ENSG00000251453.1 chr5 140581504 140582335 832 + 832
12802 ENSG00000170458.13 chr5 140631728 140633701 1974 - 1974
6449 ENSG00000131495.8 chr5 140638740 140647769 9030 - 9030
4132 ENSG00000113119.12 chr5 140639427 140645284 5858 + 5858
4134 ENSG00000113141.17 chr5 140647058 140662478 15421 + 15421
5026 ENSG00000120314.18 chr5 140664676 140673172 8497 + 8497
12798 ENSG00000170445.12 chr5 140674125 140692024 17900 - 17900
4108 ENSG00000112855.14 chr5 140693491 140699291 5801 + 5801
8765 ENSG00000146007.10 chr5 140700334 140706676 6343 + 6343
14537 ENSG00000178913.7 chr5 141260295 141320821 60527 - 60527
6451 ENSG00000131504.15 chr5 141515016 141619055 104040 - 104040
28147 ENSG00000228737.2 chr5 141618414 141626481 8068 + 8068
13099 ENSG00000171720.9 chr5 141620876 141636870 15995 - 15995
11370 ENSG00000164620.8 chr5 141636950 141639021 2072 + 2072
17556 ENSG00000197948.10 chr5 141639302 141651419 12118 - 12118
5027 ENSG00000120318.15 chr5 141653401 141682221 28821 - 28821
9960 ENSG00000156453.13 chr5 141853111 141879246 26136 - 26136
1542 ENSG00000081791.8 chr5 141923808 141942047 18240 + 18240
4186 ENSG00000113555.5 chr5 141943585 141969741 26157 - 26157
50704 ENSG00000271871.1 chr5 141952419 141953375 957 + 957
338 ENSG00000013561.17 chr5 141966820 141990291 23472 + 23472
4185 ENSG00000113552.15 chr5 141991749 142013041 21293 - 21293
6452 ENSG00000131507.10 chr5 142108505 142154443 45939 + 45939
54905 ENSG00000280047.1 chr5 142165767 142168387 2621 + 2621
8729 ENSG00000145819.15 chr5 142770384 143229011 458628 + 458628
4191 ENSG00000113580.14 chr5 143277931 143435512 157582 - 157582
8728 ENSG00000145817.16 chr5 144158159 144170714 12556 - 12556
9961 ENSG00000156463.17 chr5 145936579 146081791 145213 + 145213
6771 ENSG00000133706.17 chr5 146113038 146182660 69623 - 69623
1906 ENSG00000091009.7 chr5 146203600 146289132 85533 + 85533
4204 ENSG00000113649.11 chr5 146447312 146511961 64650 + 64650
9966 ENSG00000156475.18 chr5 146581146 147084784 503639 - 503639
4205 ENSG00000113657.12 chr5 147390811 147510056 119246 - 119246
13969 ENSG00000176049.15 chr5 147585439 147782848 197410 - 197410
11277 ENSG00000164266.10 chr5 147824568 147831786 7219 - 7219
6772 ENSG00000133710.15 chr5 148025683 148137289 111607 + 111607
8741 ENSG00000145868.16 chr5 148383935 148442836 58902 + 58902
12534 ENSG00000169252.5 chr5 148825245 148828687 3443 + 3443
12530 ENSG00000169247.11 chr5 148923639 149063163 139525 - 139525
13438 ENSG00000173210.19 chr5 149141483 149260542 119060 + 119060
10086 ENSG00000157510.13 chr5 149271871 149341802 69932 + 69932
11280 ENSG00000164284.14 chr5 149345430 149354583 9154 + 9154
8743 ENSG00000145882.10 chr5 149358007 149369653 11647 + 11647
38354 ENSG00000249669.9 chr5 149406689 149432835 26147 + 26147
4207 ENSG00000113712.17 chr5 149492197 149551552 59356 - 59356
35682 ENSG00000241112.1 chr5 149545383 149545810 428 - 428
15378 ENSG00000183111.11 chr5 149551947 149634968 83022 + 83022
9882 ENSG00000155846.16 chr5 149730298 149855022 124725 + 124725
9884 ENSG00000155850.7 chr5 149960737 149987405 26669 + 26669
11285 ENSG00000164296.6 chr5 149993118 150000320 7203 - 7203
4208 ENSG00000113716.12 chr5 150001168 150053142 51975 + 51975
15252 ENSG00000182578.13 chr5 150053291 150113372 60082 - 60082
22709 ENSG00000214485.6 chr5 150094302 150095048 747 + 747
4210 ENSG00000113721.13 chr5 150113837 150155872 42036 - 42036
1132 ENSG00000070808.15 chr5 150219491 150290291 70801 - 70801
1133 ENSG00000070814.17 chr5 150357639 150400308 42670 + 42670
394 ENSG00000019582.14 chr5 150401637 150412929 11293 - 11293
11357 ENSG00000164587.11 chr5 150443190 150449756 6567 - 6567
1120 ENSG00000070614.14 chr5 150485818 150558211 72394 + 72394
13171 ENSG00000171992.12 chr5 150601080 150659220 58141 + 58141
1699 ENSG00000086589.11 chr5 150690794 150701107 10314 - 10314
6667 ENSG00000132912.12 chr5 150708440 150759109 50670 - 50670
42943 ENSG00000256235.1 chr5 150777946 150796734 18789 + 18789
34259 ENSG00000237693.4 chr5 150846523 150900736 54214 + 54214
8747 ENSG00000145908.12 chr5 150894392 150904983 10592 - 10592
21358 ENSG00000211445.11 chr5 151020438 151028993 8556 + 8556
8745 ENSG00000145901.14 chr5 151029945 151093577 63633 - 63633
17263 ENSG00000197043.13 chr5 151100712 151157882 57171 - 57171
17766 ENSG00000198624.12 chr5 151181052 151224145 43094 - 43094
17180 ENSG00000196743.8 chr5 151212150 151270440 58291 + 58291
5406 ENSG00000123643.12 chr5 151437046 151492381 55336 + 55336
1698 ENSG00000086570.12 chr5 151504093 151568944 64852 - 64852
50668 ENSG00000271795.1 chr5 151509453 151512769 3317 + 3317
4133 ENSG00000113140.10 chr5 151661096 151685230 24135 - 24135
50829 ENSG00000272112.1 chr5 151724831 151725356 526 - 526
14288 ENSG00000177556.11 chr5 151742316 151758779 16464 - 16464
22234 ENSG00000213433.5 chr5 151765859 151766378 520 - 520
52578 ENSG00000275765.5 chr5 151770242 151771508 1267 - 1267
8746 ENSG00000145907.14 chr5 151771045 151812785 41741 + 41741
744 ENSG00000055147.18 chr5 153990128 154038905 48778 - 48778
540 ENSG00000037749.11 chr5 154038937 154220478 181542 + 181542
11355 ENSG00000164574.15 chr5 154190730 154420984 230255 + 230255
37182 ENSG00000245275.7 chr5 154329437 154445850 116414 - 116414
11356 ENSG00000164576.11 chr5 154445957 154461054 15098 + 15098
9853 ENSG00000155506.16 chr5 154712902 154817607 104706 + 104706
12753 ENSG00000170271.10 chr5 154818491 154859252 40762 - 40762
9854 ENSG00000155508.13 chr5 154857553 154876793 19241 + 19241
1572 ENSG00000082516.8 chr5 154887416 154938209 50794 - 50794
1571 ENSG00000082515.17 chr5 154941070 154969411 28342 + 28342
12844 ENSG00000170624.13 chr5 155870344 156767788 897445 + 897445
8736 ENSG00000145850.8 chr5 156919282 156963255 43974 - 43974
4146 ENSG00000113249.12 chr5 157029413 157059119 29707 - 29707
6995 ENSG00000135077.8 chr5 157085832 157109714 23883 - 23883
9886 ENSG00000155868.7 chr5 157137412 157159019 21608 - 21608
4148 ENSG00000113263.12 chr5 157180826 157255191 74366 + 74366
745 ENSG00000055163.19 chr5 157266079 157395533 129455 + 129455
13312 ENSG00000172568.4 chr5 157341600 157345721 4122 - 4122
39485 ENSG00000251405.2 chr5 157362615 157460018 97404 - 97404
37663 ENSG00000248544.2 chr5 157375741 157384950 9210 - 9210
6994 ENSG00000135074.15 chr5 157395596 157575775 180180 - 180180
13309 ENSG00000172548.14 chr5 157460079 157474717 14639 + 14639
40979 ENSG00000253519.1 chr5 157565964 157569098 3135 + 3135
4150 ENSG00000113272.13 chr5 157731197 157741448 10252 + 10252
9885 ENSG00000155858.5 chr5 157743695 157760709 17015 + 17015
4152 ENSG00000113282.13 chr5 157785743 157859175 73433 - 73433
11301 ENSG00000164330.16 chr5 158695916 159099761 403846 - 403846
8737 ENSG00000145860.11 chr5 159157409 159210053 52645 - 52645
11303 ENSG00000164332.7 chr5 159263081 159286040 22960 + 22960
4157 ENSG00000113312.10 chr5 160009113 160065543 56431 + 56431
12742 ENSG00000170234.12 chr5 160061801 160119423 57623 - 57623
12741 ENSG00000170231.15 chr5 160187367 160238735 51369 + 51369
41198 ENSG00000253772.1 chr5 160247517 160248217 701 + 701
6996 ENSG00000135083.14 chr5 160251652 160345396 93745 - 93745
23964 ENSG00000221886.3 chr5 160393148 160400097 6950 - 6950
11364 ENSG00000164609.9 chr5 160401641 160421711 20071 - 20071
11366 ENSG00000164611.12 chr5 160421822 160428744 6923 + 6923
40982 ENSG00000253522.5 chr5 160468268 160487426 19159 + 19159
4161 ENSG00000113328.18 chr5 163437569 163446151 8583 + 8583
12835 ENSG00000170584.10 chr5 163446526 163460140 13615 - 13615
1195 ENSG00000072571.19 chr5 163460203 163491945 31743 + 31743
547 ENSG00000038274.16 chr5 163503114 163519336 16223 + 16223
28396 ENSG00000229119.3 chr5 166382305 166382599 295 + 295
4202 ENSG00000113645.14 chr5 168291651 168472303 180653 + 180653
4201 ENSG00000113643.8 chr5 168486445 168519299 32855 + 32855
5002 ENSG00000120137.6 chr5 168548495 168579600 31106 - 31106
31675 ENSG00000233913.7 chr5 168616352 168616996 645 + 645
15684 ENSG00000184347.14 chr5 168661733 169301129 639397 - 639397
565 ENSG00000040275.16 chr5 169583634 169604778 21145 + 21145
6902 ENSG00000134516.15 chr5 169637247 170083382 446136 + 446136
40764 ENSG00000253269.1 chr5 169772966 169779365 6400 - 6400
19944 ENSG00000204767.3 chr5 169864264 169980740 116477 - 116477
38312 ENSG00000249601.2 chr5 170191579 170199141 7563 - 7563
32081 ENSG00000234511.8 chr5 170232447 170252575 20129 + 20129
597 ENSG00000043462.11 chr5 170246237 170298227 51991 - 51991
38737 ENSG00000250274.1 chr5 170308701 170312716 4016 - 4016
32543 ENSG00000235172.7 chr5 170331429 170333879 2451 + 2451
8754 ENSG00000145936.8 chr5 170374671 170389677 15007 - 15007
14973 ENSG00000181163.13 chr5 171387116 171411137 24022 + 24022
1204 ENSG00000072803.17 chr5 171861549 172006873 145325 - 145325
1203 ENSG00000072786.12 chr5 172042073 172188386 146314 - 146314
12282 ENSG00000168246.5 chr5 172209640 172284071 74432 - 74432
13712 ENSG00000174705.12 chr5 172325000 172454523 129524 - 129524
22673 ENSG00000214357.8 chr5 172641266 172691540 50275 + 50275
40786 ENSG00000253295.1 chr5 172758226 172762520 4295 + 4295
22208 ENSG00000213386.3 chr5 172762557 172763258 702 - 702
5001 ENSG00000120129.5 chr5 172768090 172771195 3106 - 3106
41168 ENSG00000253736.1 chr5 172777492 172777774 283 + 283
4209 ENSG00000113719.15 chr5 172834275 172952685 118411 + 118411
19942 ENSG00000204758.7 chr5 172954786 172959392 4607 - 4607
536 ENSG00000037241.7 chr5 172958779 172969771 10993 + 10993
4212 ENSG00000113732.8 chr5 172983757 173035445 51689 + 51689
11334 ENSG00000164463.12 chr5 173056352 173139284 82933 + 82933
4213 ENSG00000113734.17 chr5 173144578 173164387 19810 + 19810
8751 ENSG00000145919.10 chr5 173607514 173616660 9147 - 9147
4215 ENSG00000113742.12 chr5 173888280 173961976 73697 + 73697
12715 ENSG00000170091.10 chr5 174045604 174243501 197898 + 197898
11336 ENSG00000164466.12 chr5 175477062 175529742 52681 + 52681
4216 ENSG00000113749.7 chr5 175658030 175710756 52727 + 52727
18633 ENSG00000200648.1 chr5 175703898 175704004 107 + 107
8752 ENSG00000145920.14 chr5 175796310 175884020 87711 + 87711
694 ENSG00000051596.9 chr5 175917873 176034680 116808 - 116808
15171 ENSG00000182230.11 chr5 176060689 176132258 71570 + 71570
12712 ENSG00000170085.17 chr5 176238367 176345991 107625 + 107625
5235 ENSG00000122203.14 chr5 176346061 176361968 15908 - 15908
13854 ENSG00000175414.6 chr5 176365468 176401865 36398 + 36398
637 ENSG00000048162.20 chr5 176383938 176388975 5038 - 5038
8774 ENSG00000146066.2 chr5 176389331 176389771 441 + 441
13855 ENSG00000175416.12 chr5 176392455 176416569 24115 - 24115
4137 ENSG00000113194.12 chr5 176447628 176510074 62447 + 62447
8778 ENSG00000146083.11 chr5 176526697 176538025 11329 - 11329
1256 ENSG00000074276.10 chr5 176542511 176595801 53291 + 53291
36811 ENSG00000243959.3 chr5 176547433 176547726 294 - 294
12537 ENSG00000169258.6 chr5 176595975 176610133 14159 - 14159
636 ENSG00000048140.17 chr5 176647387 176659054 11668 + 11668
4219 ENSG00000113763.10 chr5 176810477 176880870 70394 + 70394
10524 ENSG00000160883.10 chr5 176880896 176899332 18437 - 18437
1728 ENSG00000087206.16 chr5 176905005 177022602 117598 - 117598
4218 ENSG00000113761.11 chr5 177022696 177081189 58494 + 58494
10519 ENSG00000160867.14 chr5 177086886 177098144 11259 + 11259
11627 ENSG00000165671.19 chr5 177133079 177300215 167137 + 167137
12522 ENSG00000169228.13 chr5 177301451 177303744 2294 - 2294
12523 ENSG00000169230.9 chr5 177303774 177304850 1077 + 1077
22190 ENSG00000213347.10 chr5 177305500 177312757 7258 - 7258
12520 ENSG00000169223.14 chr5 177331562 177351852 20291 - 20291
12518 ENSG00000169220.17 chr5 177357837 177372601 14765 + 14765
6404 ENSG00000131183.10 chr5 177379235 177398848 19614 + 19614
6405 ENSG00000131187.9 chr5 177402140 177409576 7437 - 7437
17597 ENSG00000198055.10 chr5 177403204 177442802 39599 + 39599
37262 ENSG00000246334.2 chr5 177438503 177447699 9197 - 9197
6406 ENSG00000131188.11 chr5 177446445 177456286 9842 + 9842
4217 ENSG00000113758.13 chr5 177456608 177474401 17794 - 17794
54742 ENSG00000279821.1 chr5 177476631 177479656 3026 - 3026
17228 ENSG00000196923.13 chr5 177483394 177497601 14208 - 14208
37945 ENSG00000248996.1 chr5 177494995 177503647 8653 + 8653
8781 ENSG00000146094.13 chr5 177501907 177511274 9368 - 9368
15414 ENSG00000183258.11 chr5 177511577 177517469 5893 - 5893
8775 ENSG00000146067.15 chr5 177519788 177554541 34754 - 34754
15794 ENSG00000184840.11 chr5 177592158 177596124 3967 + 3967
465 ENSG00000027847.13 chr5 177600100 177610347 10248 + 10248
37352 ENSG00000247679.2 chr5 177611253 177619754 8502 + 8502
37284 ENSG00000246596.6 chr5 177620473 177672209 51737 - 51737
12710 ENSG00000170074.19 chr5 177707981 177783398 75418 - 75418
12714 ENSG00000170089.15 chr5 177809407 177950732 141326 + 141326
38361 ENSG00000249684.5 chr5 177951413 177963960 12548 + 12548
23419 ENSG00000218227.3 chr5 178055604 178056194 591 + 591
8748 ENSG00000145911.5 chr5 178113443 178126087 12645 + 12645
8750 ENSG00000145916.18 chr5 178130996 178150530 19535 + 19535
8749 ENSG00000145912.8 chr5 178150566 178153967 3402 - 3402
17396 ENSG00000197451.11 chr5 178204507 178211163 6657 + 6657
13833 ENSG00000175309.14 chr5 178208497 178232790 24294 - 24294
685 ENSG00000050767.15 chr5 178237618 178590555 352938 - 352938
4144 ENSG00000113240.12 chr5 178602664 178627114 24451 - 24451
12497 ENSG00000169131.11 chr5 178694605 178730702 36098 - 36098
14438 ENSG00000178338.10 chr5 178859953 178888122 28170 + 28170
31934 ENSG00000234284.6 chr5 179023752 179035064 11313 + 11313
14362 ENSG00000177932.6 chr5 179060415 179083537 23123 + 23123
1723 ENSG00000087116.14 chr5 179110851 179345430 234580 - 234580
14119 ENSG00000176783.14 chr5 179550558 179610026 59469 + 59469
37159 ENSG00000244945.1 chr5 179595904 179603741 7838 - 7838
12473 ENSG00000169045.17 chr5 179614178 179634784 20607 - 20607
5871 ENSG00000127022.14 chr5 179698406 179730925 32520 + 32520
10548 ENSG00000161021.11 chr5 179732850 179796252 63403 + 63403
10546 ENSG00000161013.16 chr5 179797597 179806934 9338 - 9338
10545 ENSG00000161011.19 chr5 179806398 179837265 30868 + 30868
10544 ENSG00000161010.14 chr5 179835133 179858887 23755 - 23755
17327 ENSG00000197226.12 chr5 179862066 179907859 45794 - 45794
4149 ENSG00000113269.13 chr5 179911651 180072118 160468 - 160468
38204 ENSG00000249412.1 chr5 179963615 179964419 805 + 805
684 ENSG00000050748.17 chr5 180233143 180292099 58957 - 58957
37545 ENSG00000248367.1 chr5 180293245 180295253 2009 + 2009
6437 ENSG00000131459.12 chr5 180300690 180353387 52698 - 52698
4154 ENSG00000113300.11 chr5 180494412 180578405 83994 + 83994
10553 ENSG00000161055.3 chr5 180590103 180591540 1438 - 1438
537 ENSG00000037280.15 chr5 180601506 180649624 48119 - 48119
6436 ENSG00000131446.16 chr5 180784782 180815652 30871 - 30871
54996 ENSG00000280161.1 chr5 180810506 180811384 879 + 879
54061 ENSG00000278970.1 chr5 180829954 180831364 1411 - 1411
37168 ENSG00000245060.6 chr5 180831606 180835726 4121 + 4121
17162 ENSG00000196670.13 chr5 180847611 180861285 13675 - 13675
4156 ENSG00000113303.11 chr5 180899077 180950906 51830 + 51830
12435 ENSG00000168903.8 chr5 180988845 181006727 17883 + 17883
11664 ENSG00000165810.16 chr5 181040225 181061523 21299 + 21299
8772 ENSG00000146054.17 chr5 181193924 181205293 11370 - 11370
8773 ENSG00000146063.19 chr5 181222499 181235809 13311 + 13311
19891 ENSG00000204628.11 chr5 181236909 181248096 11188 - 11188
50923 ENSG00000272296.1 chr5 181241814 181241892 79 - 79
31694 ENSG00000233937.6 chr5 181246523 181257586 11064 + 11064
15532 ENSG00000183718.5 chr5 181254417 181261118 6702 - 6702
37486 ENSG00000248275.1 chr5 181261212 181272307 11096 + 11096
52010 ENSG00000274525.1 chr5 181291673 181295572 3900 + 3900
34496 ENSG00000238035.8 chr5 181306502 181324685 18184 + 18184
4084 ENSG00000112679.14 chr6 291630 351355 59726 + 59726
7425 ENSG00000137265.14 chr6 391739 411447 19709 + 19709
4085 ENSG00000112685.13 chr6 485133 693111 207979 - 207979
16827 ENSG00000188996.4 chr6 655939 656963 1025 - 1025
729 ENSG00000054598.6 chr6 1609972 1613897 3926 + 3926
4088 ENSG00000112699.10 chr6 1623806 2245692 621887 - 621887
39152 ENSG00000250903.8 chr6 2245748 2482022 236275 + 236275
8756 ENSG00000145949.9 chr6 2663629 2750966 87338 - 87338
5531 ENSG00000124535.15 chr6 2765414 2786952 21539 + 21539
406 ENSG00000021355.12 chr6 2832332 2842006 9675 - 9675
29310 ENSG00000230438.6 chr6 2854657 2881407 26751 - 26751
12826 ENSG00000170542.5 chr6 2887266 2903280 16015 - 16015
5538 ENSG00000124570.17 chr6 2948159 2972165 24007 - 24007
36852 ENSG00000244041.7 chr6 2987967 2991173 3207 + 3207
5543 ENSG00000124588.19 chr6 2993931 3028869 34939 + 34939
7432 ENSG00000137275.13 chr6 3063991 3115187 51197 + 51197
50917 ENSG00000272277.1 chr6 3068045 3068894 850 - 850
7431 ENSG00000137274.12 chr6 3118374 3153578 35205 + 35205
7427 ENSG00000137267.5 chr6 3153669 3157526 3858 - 3858
7433 ENSG00000137285.9 chr6 3224261 3227735 3475 - 3475
14903 ENSG00000180822.11 chr6 3231403 3303373 71971 + 71971
7426 ENSG00000137266.14 chr6 3268962 3457022 188061 - 188061
12460 ENSG00000168994.13 chr6 3722614 3739161 16548 - 16548
8755 ENSG00000145945.5 chr6 3849386 3851317 1932 + 1932
4092 ENSG00000112739.16 chr6 4021267 4064983 43717 + 43717
17803 ENSG00000198721.12 chr6 4115689 4135597 19909 - 19909
9589 ENSG00000153046.17 chr6 4706159 4955551 249393 + 249393
5577 ENSG00000124787.13 chr6 4994732 5004063 9332 - 9332
22573 ENSG00000214113.10 chr6 5102593 5260939 158347 - 158347
8759 ENSG00000145982.11 chr6 5261044 5771580 510537 + 510537
5575 ENSG00000124785.8 chr6 5997999 6007605 9607 - 9607
5524 ENSG00000124491.15 chr6 6144085 6321013 176929 - 176929
23264 ENSG00000216863.9 chr6 6346465 6622771 276307 - 276307
4102 ENSG00000112799.8 chr6 6588108 6654983 66876 + 66876
46010 ENSG00000261211.1 chr6 6680309 6683633 3325 - 3325
26479 ENSG00000226281.2 chr6 6692744 6711002 18259 - 18259
5572 ENSG00000124782.19 chr6 7107597 7251980 144384 + 144384
5573 ENSG00000124783.12 chr6 7268306 7347446 79141 - 79141
23690 ENSG00000220472.1 chr6 7338839 7339568 730 - 730
5574 ENSG00000124784.8 chr6 7389744 7418037 28294 + 28294
2063 ENSG00000096696.13 chr6 7541575 7586717 45143 + 45143
12363 ENSG00000168566.12 chr6 7590199 7611967 21769 + 21769
9605 ENSG00000153162.8 chr6 7726797 7881422 154626 + 154626
34948 ENSG00000239264.8 chr6 7881517 7910814 29298 - 29298
16682 ENSG00000188428.19 chr6 8013567 8064414 50848 - 50848
5581 ENSG00000124802.11 chr6 8073360 8102578 29219 - 29219
5576 ENSG00000124786.9 chr6 8413068 8435483 22416 - 22416
3959 ENSG00000111846.16 chr6 10492223 10629368 137146 + 137146
3958 ENSG00000111845.4 chr6 10694695 10709782 15088 + 15088
3957 ENSG00000111843.13 chr6 10722915 10731129 8215 + 8215
7417 ENSG00000137210.13 chr6 10747759 10852753 104995 + 104995
3956 ENSG00000111837.11 chr6 10762723 10838553 75831 - 75831
25278 ENSG00000224531.5 chr6 11094033 11138733 44701 + 44701
3961 ENSG00000111859.16 chr6 11183298 11382348 199051 - 199051
20085 ENSG00000205269.5 chr6 11538278 11583524 45247 + 45247
3963 ENSG00000111863.12 chr6 11712054 11807046 94993 - 94993
2046 ENSG00000095951.16 chr6 12008857 12164999 156143 + 156143
1423 ENSG00000078401.6 chr6 12290363 12297194 6832 + 6832
21972 ENSG00000212802.4 chr6 12514110 12514724 615 + 615
3997 ENSG00000112137.17 chr6 12716805 13290017 573213 + 573213
22899 ENSG00000215022.7 chr6 13264861 13295586 30726 - 30726
8758 ENSG00000145979.17 chr6 13266542 13328583 62042 - 62042
8760 ENSG00000145990.10 chr6 13357830 13487662 129833 - 129833
5529 ENSG00000124523.15 chr6 13574529 13615158 40630 + 40630
26226 ENSG00000225921.6 chr6 13615327 13621205 5879 + 5879
246 ENSG00000010017.12 chr6 13621498 13711564 90067 - 90067
677 ENSG00000050393.11 chr6 13786557 13814568 28012 - 28012
14852 ENSG00000180537.12 chr6 13924446 13980302 55857 + 55857
4001 ENSG00000112149.9 chr6 14117256 14136918 19663 + 19663
201 ENSG00000008083.13 chr6 15246296 15522040 275745 + 275745
32751 ENSG00000235488.1 chr6 15247815 15248634 820 - 820
623 ENSG00000047579.19 chr6 15522801 15663058 140258 - 140258
196 ENSG00000007944.14 chr6 16129125 16148248 19124 + 19124
23401 ENSG00000218073.1 chr6 16160926 16161411 486 + 486
23290 ENSG00000217078.1 chr6 16163377 16163762 386 - 386
7412 ENSG00000137198.9 chr6 16238580 16295549 56970 + 56970
55427 ENSG00000282024.1 chr6 16259101 16264553 5453 - 5453
5578 ENSG00000124788.17 chr6 16299112 16761491 462380 - 462380
28945 ENSG00000229931.1 chr6 16761138 16762652 1515 + 1515
50945 ENSG00000272341.1 chr6 16764346 16766883 2538 + 2538
4008 ENSG00000112186.11 chr6 17393216 17557792 164577 + 164577
7449 ENSG00000137414.5 chr6 17600355 17611719 11365 + 11365
5579 ENSG00000124789.11 chr6 17615035 17688618 73584 - 73584
50913 ENSG00000272269.1 chr6 17706257 17707344 1088 + 1088
7409 ENSG00000137177.19 chr6 17759183 17987623 228441 - 228441
16455 ENSG00000187566.5 chr6 18120440 18122687 2248 - 2248
7442 ENSG00000137364.4 chr6 18128311 18155074 26764 - 26764
11493 ENSG00000165097.13 chr6 18155329 18223853 68525 + 68525
5580 ENSG00000124795.14 chr6 18223868 18264823 40956 - 40956
7444 ENSG00000137393.9 chr6 18387350 18468874 81525 + 81525
13219 ENSG00000172201.11 chr6 19837386 19840684 3299 + 3299
13217 ENSG00000172197.10 chr6 20102145 20212399 110255 - 110255
4020 ENSG00000112242.14 chr6 20401906 20493715 91810 + 91810
8761 ENSG00000145996.11 chr6 20534457 21232404 697948 + 697948
5568 ENSG00000124766.6 chr6 21592768 21598619 5852 + 5852
13213 ENSG00000172179.11 chr6 22287244 22297501 10258 - 10258
5530 ENSG00000124532.14 chr6 24402908 24426194 23287 + 23287
4029 ENSG00000112293.14 chr6 24428177 24489622 61446 - 61446
4030 ENSG00000112294.12 chr6 24494852 24537207 42356 + 42356
7424 ENSG00000137261.13 chr6 24544104 24646155 102052 - 102052
3951 ENSG00000111802.13 chr6 24649977 24667033 17057 - 17057
4034 ENSG00000112304.10 chr6 24667035 24704860 37826 + 37826
50949 ENSG00000272345.1 chr6 24700907 24701458 552 - 552
4037 ENSG00000112308.12 chr6 24705066 24720836 15771 - 15771
50984 ENSG00000272402.1 chr6 24706747 24707151 405 + 405
4039 ENSG00000112312.9 chr6 24774931 24786099 11169 + 11169
45371 ENSG00000260286.3 chr6 24797321 24798889 1569 - 1569
3975 ENSG00000111913.17 chr6 24804282 24936052 131771 - 131771
23291 ENSG00000217083.1 chr6 24947880 24948344 465 + 465
22878 ENSG00000214975.4 chr6 24976419 24976982 564 + 564
50798 ENSG00000272053.1 chr6 25014952 25042170 27219 - 27219
23697 ENSG00000220517.2 chr6 25023247 25024483 1237 - 1237
12325 ENSG00000168405.15 chr6 25081320 25166555 85236 - 85236
1472 ENSG00000079691.17 chr6 25279078 25620530 341453 + 341453
4046 ENSG00000112343.10 chr6 25962802 25991226 28425 + 28425
51017 ENSG00000272462.2 chr6 25992662 26001775 9114 + 9114
16531 ENSG00000187837.3 chr6 26055787 26056428 642 - 642
271 ENSG00000010704.18 chr6 26087281 26098343 11063 + 11063
14860 ENSG00000180596.7 chr6 26114873 26123926 9054 - 9054
14856 ENSG00000180573.9 chr6 26124145 26139116 14972 + 14972
12300 ENSG00000168298.6 chr6 26156354 26157107 754 + 754
10182 ENSG00000158373.8 chr6 26158146 26171349 13204 + 13204
55618 ENSG00000283064.1 chr6 26160765 26172802 12038 - 12038
51891 ENSG00000274290.2 chr6 26173763 26184655 10893 + 10893
53187 ENSG00000277157.1 chr6 26188765 26189076 312 - 312
23199 ENSG00000216331.2 chr6 26195554 26196633 1080 + 1080
17381 ENSG00000197409.7 chr6 26196840 26197250 411 - 411
17214 ENSG00000196866.2 chr6 26198851 26199243 393 - 393
53216 ENSG00000277224.2 chr6 26199520 26200715 1196 + 1196
23318 ENSG00000217275.2 chr6 26202156 26202654 499 + 499
53104 ENSG00000276966.2 chr6 26204552 26206038 1487 + 1487
51667 ENSG00000273802.2 chr6 26215159 26216692 1534 - 1534
53153 ENSG00000277075.2 chr6 26216975 26217483 509 + 509
52117 ENSG00000274750.2 chr6 26224199 26227473 3275 + 3275
23424 ENSG00000218281.1 chr6 26233122 26233255 134 + 134
5541 ENSG00000124575.6 chr6 26234268 26234933 666 - 666
52559 ENSG00000275713.2 chr6 26251651 26253710 2060 + 2060
10184 ENSG00000158406.4 chr6 26277609 26285638 8030 - 8030
16227 ENSG00000186470.13 chr6 26365159 26378320 13162 + 13162
